Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Sievenpiper, Daniel F.",ECE 123 - Antenna Systems Engineering (A),SP17,52,11,100.0 %,100.0 %,6.3,A- (3.80),B- (2.94)
"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP17,43,6,100.0 %,100.0 %,9.3,B+ (3.50),B (3.00)
"Ng, Tse Nga",ECE 134 - Electrnc Materls Sci/Integ Cir (A),SP17,28,10,100.0 %,100.0 %,6.25,B+ (3.57),B (3.21)
"Rao, Ramesh R",ECE 153 - Probability&Random Process/Eng (A),SP17,68,29,74.1 %,66.7 %,8.35,B (3.19),B (3.01)
"Dane, Gokce",ECE 16 - Rapid Hardware & Software Dsn (A),SP17,25,21,100.0 %,81.0 %,5.36,B+ (3.55),A- (3.77)
"Vasconcelos, Nuno",ECE 161C - Apps of Digital Signal Process (A),SP17,66,62,80.3 %,63.9 %,6.57,B (3.17),B- (2.76)
"Mercier, Patrick Philip",ECE 165 - Digtl Integrated Circuit Desgn (A),SP17,90,24,91.7 %,100.0 %,11.95,B (3.17),B (3.15)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),SP17,181,49,87.0 %,78.3 %,6.6,B (3.29),B (3.19)
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP17,51,16,100.0 %,92.9 %,6.79,A- (3.79),B (3.08)
"Kumar, Rakesh",ECE 180 - Topics in ECE (B),SP17,28,22,100.0 %,95.2 %,4.7,A- (3.90),B+ (3.69)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (C),SP17,97,25,100.0 %,100.0 %,5.75,A- (3.95),B+ (3.58)
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP17,18,6,60.0 %,80.0 %,8.5,C+ (2.50),N/A
"Papen, George C.",ECE 185 - Lasers and Modulators (A),SP17,13,3,100.0 %,100.0 %,13.83,B+ (3.67),N/A
"Gessner, Richard K.",ECE 188 - Topics in ECE with Lab (C),SP17,25,20,95.0 %,95.0 %,7.8,B+ (3.68),B+ (3.42)
"Khoshabeh, Ramsin",ECE 188 - Topics in ECE with Lab (C),SP17,25,20,95.0 %,90.0 %,7.8,B+ (3.68),B+ (3.42)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),SP17,66,11,63.6 %,81.8 %,9.95,B+ (3.36),B+ (3.69)
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),SP17,66,12,58.3 %,75.0 %,9.5,B+ (3.42),B+ (3.69)
"Kante, Boubacar",ECE 100 - Linear Electronic Systems (A),WI17,40,33,93.9 %,100.0 %,8.02,B- (2.97),B- (2.95)
"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),WI17,105,38,77.4 %,87.1 %,7.81,B- (2.94),C+ (2.38)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),WI17,179,97,76.8 %,91.6 %,12.09,B- (2.83),B- (2.70)
"Tu, Charles",ECE 103 - Fundamntls/Devices & Materials (A),WI17,41,11,36.4 %,36.4 %,7.05,B (3.00),B- (2.80)
"Kante, Boubacar",ECE 107 - Electromagnetism (A),WI17,32,24,91.7 %,83.3 %,7.75,B- (2.75),C+ (2.39)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI17,126,47,90.9 %,93.2 %,6.31,B (3.10),C+ (2.37)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),WI17,68,22,90.9 %,100.0 %,6.8,B+ (3.48),B+ (3.39)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI17,64,25,91.3 %,95.7 %,8.05,B+ (3.48),B+ (3.39)
"Yip, Michael",ECE 115 - Fast Prototyping (A),WI17,21,18,100.0 %,100.0 %,13.94,B+ (3.59),B+ (3.69)
"Esmaili, Gholamreza",ECE 121B - Energy Conversion (A),WI17,62,14,100.0 %,100.0 %,9.93,B (3.08),B- (2.95)
"Asbeck, Peter Michael",ECE 125A - Intro to Power Electronics I (A),WI17,72,14,92.9 %,78.6 %,9.12,B (3.07),B- (2.80)
"Tu, Charles",ECE 135A - Semiconductor Physics (A),WI17,25,5,100.0 %,80.0 %,6,B (3.25),B- (2.70)
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),WI17,33,18,92.9 %,92.9 %,10.5,B+ (3.31),B+ (3.30)
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI17,20,7,100.0 %,100.0 %,5.17,A (4.00),A- (3.77)
"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI17,84,24,62.5 %,79.2 %,9.98,B (3.00),C+ (2.64)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI17,21,10,100.0 %,100.0 %,10.5,A- (3.80),B- (2.70)
"Gilja, Vikash",ECE 16 - Rapid Hardware & Software Dsn (B),WI17,21,12,100.0 %,100.0 %,5.67,A- (3.80),A- (3.88)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI17,60,29,100.0 %,100.0 %,8.71,B (3.30),B (3.20)
"Trivedi, Mohan M.",ECE 172A - Introductn/Intelligent Systems (A),WI17,165,63,91.4 %,82.8 %,7.62,B+ (3.37),B (3.21)
"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI17,106,101,95.0 %,83.0 %,8.36,B (3.06),B- (2.92)
"Kunin, Jay Stuart",ECE 180 - Topics in ECE (A),WI17,16,3,100.0 %,100.0 %,4.5,A (4.00),N/A
"Ghoudjehbaklou, Hassan",ECE 180 - Topics in ECE (B),WI17,22,5,100.0 %,100.0 %,8,B (3.00),B+ (3.50)
"Mookherjea, Shayan",ECE 183 - Optical Electronics (A),WI17,31,15,85.7 %,100.0 %,14.07,B+ (3.36),B (3.12)
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI17,13,5,100.0 %,100.0 %,9.3,B+ (3.40),N/A
"Gessner, Richard K.",ECE 188 - Topics in ECE with Lab (B),WI17,47,38,89.2 %,91.9 %,9.53,B+ (3.39),B+ (3.53)
"Khoshabeh, Ramsin",ECE 188 - Topics in ECE with Lab (B),WI17,47,38,89.2 %,94.6 %,9.53,B+ (3.39),B+ (3.53)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),WI17,61,16,85.7 %,85.7 %,11.42,B+ (3.58),B+ (3.57)
"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA16,207,104,83.2 %,94.7 %,7.86,B- (2.92),C+ (2.44)
"Ng, Tse Nga",ECE 103 - Fundamntls/Devices & Materials (A),FA16,147,61,80.0 %,80.0 %,7.9,B (3.19),B- (2.85)
"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),FA16,50,19,76.5 %,76.5 %,8.23,B- (2.93),C+ (2.61)
"Koushanfar, Farinaz",ECE 111 - Advanced Digital Design Proj (B),FA16,110,33,48.4 %,22.6 %,8.16,B (3.10),B (3.14)
"Esmaili, Gholamreza",ECE 121A - Power Sys Analysis & Fundmntls (A),FA16,80,29,100.0 %,96.6 %,10.29,B (3.00),B- (2.87)
"Hildebrand, John A",ECE 145AL - Acoustics Laboratory (A),FA16,17,3,100.0 %,100.0 %,9.5,A (4.00),N/A
"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA16,83,31,85.7 %,85.7 %,8.94,B+ (3.38),B- (2.81)
"Orlitsky, Alon",ECE 15 - Engineering Computation (B),FA16,115,49,91.1 %,80.0 %,8.81,B (3.26),B- (2.81)
"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA16,96,39,91.7 %,94.4 %,7.13,B+ (3.50),B- (2.97)
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA16,22,7,100.0 %,100.0 %,7.36,B+ (3.50),B- (2.86)
"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),FA16,12,6,100.0 %,83.3 %,8.5,B+ (3.67),N/A
"Javidi, Tara",ECE 158A - Data Networks I (A),FA16,39,14,50.0 %,33.3 %,12.5,B- (2.82),B (3.10)
"Rao, Bhaskar D.",ECE 161A - Intr/Digital Signal Processing (A),FA16,89,38,94.3 %,94.3 %,8.32,B (3.23),B- (2.95)
"Hall, Drew A.",ECE 164 - Analog Integrtd Circuit Design (A),FA16,103,42,95.0 %,95.0 %,11.63,B+ (3.47),B- (2.93)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA16,105,45,100.0 %,97.6 %,11.53,B+ (3.56),B (3.09)
"Sworder, David D.",ECE 171B - Linear Control System Theory (B),FA16,70,20,88.2 %,70.6 %,7.32,B (3.18),B (3.20)
"Kreutz-Delgado, Kenneth",ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA16,118,40,85.7 %,82.9 %,9.68,B (3.23),B (3.13)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),FA16,90,41,100.0 %,97.5 %,4.87,B+ (3.66),A- (3.74)
"Kumar, Rakesh",ECE 180 - Topics in ECE (C),FA16,20,11,90.9 %,90.9 %,4.5,A- (3.91),B+ (3.68)
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA16,21,13,92.3 %,84.6 %,8.5,B+ (3.46),B+ (3.38)
"Liu, Zhaowei",ECE 187 - Intro/Biomed Imaging & Sensing (A),FA16,47,20,88.9 %,77.8 %,6.28,B+ (3.44),B+ (3.30)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),FA16,38,15,100.0 %,100.0 %,8.83,B+ (3.69),B+ (3.33)
"Baghdadchi, Saharnaz",ECE 101 - Linear Systems Fundamentals (A),S216,72,54,98.1 %,98.1 %,10.58,B (3.20),B- (2.77)
"Shevchenko, Valentin I",ECE 107 - Electromagnetism (A),S216,83,41,72.5 %,72.5 %,10.87,B (3.05),B- (2.94)
"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),S116,52,6,80.0 %,80.0 %,9.3,B- (2.75),C (2.24)
"Masnadi-Shirazi, Maryam",ECE 109 - Engineering Probability&Stats (A),S116,84,16,86.7 %,73.3 %,7.64,B+ (3.64),C+ (2.53)
"Kuzum, Duygu",ECE 103 - Fundamntls/Devices & Materials (A),SP16,110,60,82.8 %,94.8 %,8.39,B (3.16),B (3.09)
"Fullerton, Eric E",ECE 107 - Electromagnetism (A),SP16,173,50,89.4 %,93.6 %,9.45,B- (2.93),C+ (2.64)
"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP16,292,82,77.3 %,70.7 %,6.08,B (3.21),C+ (2.51)
"Yip, Michael",ECE 115 - Fast Prototyping (A),SP16,20,16,100.0 %,100.0 %,11.75,B+ (3.69),B+ (3.62)
"Quest, Kevin B",ECE 120 - Solar System Physics (A),SP16,47,17,100.0 %,100.0 %,3.88,B+ (3.53),B (3.09)
"Sievenpiper, Daniel F.",ECE 123 - Antenna Systems Engineering (A),SP16,42,16,93.8 %,93.8 %,7.38,B (3.29),B- (2.96)
"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP16,41,12,100.0 %,100.0 %,9.41,B+ (3.36),B (3.14)
"Ng, Tse Nga",ECE 134 - Electrnc Materls Sci/Integ Cir (A),SP16,48,23,100.0 %,100.0 %,6.21,B+ (3.43),B- (2.85)
"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),SP16,18,10,100.0 %,100.0 %,14.06,B- (2.86),N/A
"Gilja, Vikash",ECE 15 - Engineering Computation (A),SP16,155,55,75.5 %,89.8 %,8.71,B (3.08),B- (2.88)
"Naghshvar, Mohammad",ECE 153 - Probability&Random Process/Eng (C),SP16,58,48,61.7 %,55.3 %,9.79,B- (2.93),B- (2.88)
"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP16,21,8,87.5 %,87.5 %,6,B (3.25),B+ (3.44)
"Baker, Corey E.",ECE 158B - Data Networks II (B),SP16,43,41,90.0 %,92.5 %,7.27,B+ (3.58),A- (3.84)
"Vasconcelos, Nuno",ECE 161C - Apps of Digital Signal Process (A),SP16,58,54,85.2 %,81.5 %,6.76,B- (2.94),B- (2.87)
"Bott-Suzuki, Simon Charles",ECE 163 - Electronic Circuits & Systems (A),SP16,76,21,90.0 %,100.0 %,10.94,B+ (3.56),B (3.11)
"Eldon, John",ECE 165 - Digtl Integrated Circuit Desgn (A),SP16,121,28,75.0 %,57.1 %,8.35,B+ (3.41),B+ (3.61)
"Sworder, David D.",ECE 171A - Linear Control System Theory (B),SP16,182,59,91.2 %,80.7 %,6.89,B+ (3.66),B+ (3.39)
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP16,62,23,90.9 %,95.5 %,7.86,B+ (3.45),B+ (3.61)
"Ghoudjehbaklou, Hassan",ECE 180 - Topics in ECE (B),SP16,56,13,84.6 %,53.8 %,7.33,B (3.18),B (3.12)
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP16,14,4,100.0 %,100.0 %,6,B (3.25),N/A
"Papen, George C.",ECE 185 - Lasers and Modulators (A),SP16,14,5,100.0 %,100.0 %,10.5,B (3.00),N/A
"Cetin, Ahmet Enis",ECE 188 - Topics in ECE with Lab (B),SP16,27,11,100.0 %,100.0 %,5.1,A- (3.78),B+ (3.62)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),SP16,75,17,93.8 %,93.8 %,12.13,B+ (3.67),B+ (3.56)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),SP16,75,17,93.8 %,81.3 %,12.13,B+ (3.67),B+ (3.56)
"Kante, Boubacar",ECE 100 - Linear Electronic Systems (A),WI16,86,73,88.9 %,83.3 %,8.56,B (3.03),C+ (2.45)
"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),WI16,155,69,89.1 %,95.3 %,8.18,B (3.10),C+ (2.49)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),WI16,220,102,84.0 %,86.2 %,12.94,B- (2.90),C+ (2.56)
"Tu, Charles",ECE 103 - Fundamntls/Devices & Materials (A),WI16,107,72,80.6 %,65.3 %,6.87,B- (2.87),B- (2.80)
"Kante, Boubacar",ECE 107 - Electromagnetism (A),WI16,89,73,74.6 %,62.0 %,7.76,C+ (2.62),C (2.11)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI16,107,46,78.6 %,78.6 %,7.32,C+ (2.65),C+ (2.32)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),WI16,70,22,81.8 %,81.8 %,7.83,B (3.29),B+ (3.40)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI16,68,9,88.9 %,77.8 %,6.28,B+ (3.33),B+ (3.40)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (C),WI16,46,18,78.6 %,85.7 %,9.64,B (3.23),B+ (3.40)
"Esmaili, Gholamreza",ECE 121 - Energy Conversion (A),WI16,54,18,93.8 %,100.0 %,8.21,B (3.21),B- (2.75)
"Asbeck, Peter Michael",ECE 125A - Intro to Power Electronics I (A),WI16,55,17,100.0 %,64.7 %,9.83,B (3.19),B+ (3.34)
"Tu, Charles",ECE 135A - Semiconductor Physics (A),WI16,17,12,90.9 %,72.7 %,6.86,B+ (3.40),N/A
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),WI16,20,8,100.0 %,100.0 %,13.5,B (3.13),B (3.30)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI16,29,13,92.3 %,92.3 %,7.88,B (3.23),B- (2.94)
"Gilja, Vikash",ECE 16 - Rapid Hardware & Software Dsn (A),WI16,21,9,100.0 %,100.0 %,7.25,A- (3.83),B+ (3.43)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI16,78,28,92.6 %,100.0 %,7.39,B (3.22),B (3.22)
"Trivedi, Mohan M.",ECE 172A - Introductn/Intelligent Systems (A),WI16,148,48,85.1 %,80.9 %,7.73,B+ (3.54),B (3.02)
"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI16,110,111,92.7 %,86.4 %,9.11,B (3.22),B- (2.79)
"Kunin, Jay Stuart",ECE 180 - Topics in ECE (B),WI16,34,8,100.0 %,85.7 %,4.5,B+ (3.57),B+ (3.54)
"McAulay, Alastair D",ECE 183 - Optical Electronics (A),WI16,27,12,91.7 %,50.0 %,5,B+ (3.64),B+ (3.50)
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI16,14,8,100.0 %,100.0 %,7.07,B+ (3.43),N/A
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),WI16,48,13,91.7 %,100.0 %,10.67,A- (3.75),B+ (3.55)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),WI16,48,12,91.7 %,66.7 %,10.67,A- (3.75),B+ (3.55)
"Sievenpiper, Daniel F.",ECE 100 - Linear Electronic Systems (A),FA15,244,195,94.8 %,86.5 %,9.21,B (3.13),B (3.09)
"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),FA15,211,75,75.0 %,69.1 %,8.87,B- (2.84),C+ (2.35)
"Tu, Charles",ECE 103 - Fundamntls/Devices & Materials (A),FA15,74,52,76.5 %,72.5 %,8.42,B (3.10),C+ (2.60)
"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA15,252,114,79.8 %,79.8 %,7.56,B (3.16),C+ (2.51)
"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA15,112,32,83.3 %,83.3 %,6.97,B+ (3.57),C+ (2.67)
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA15,25,11,90.0 %,100.0 %,9.61,B+ (3.30),C+ (2.46)
"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA15,69,20,76.5 %,88.2 %,6.26,B (3.19),B- (2.87)
"Javidi, Tara",ECE 161A - Intr/Digital Signal Processing (A),FA15,110,30,88.9 %,63.0 %,9.38,B (3.00),B- (2.73)
"Hall, Drew A.",ECE 164 - Analog Integrtd Circuit Design (A),FA15,83,27,96.2 %,92.3 %,12.19,B+ (3.65),B- (2.94)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA15,97,36,97.0 %,93.9 %,11.6,B+ (3.48),B- (2.98)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA15,68,19,94.4 %,88.9 %,7.5,B+ (3.69),B+ (3.40)
"Kreutz-Delgado, Kenneth",ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA15,143,47,67.4 %,65.1 %,9.17,B (3.03),B- (2.88)
"Kumar, Rakesh",ECE 180 - Topics in ECE (A),FA15,46,14,100.0 %,100.0 %,3.5,B+ (3.69),B+ (3.54)
"Shevchenko, Valentin I",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA15,17,5,80.0 %,40.0 %,7.7,B (3.20),N/A
"Liu, Zhaowei",ECE 187 - Intro/Biomed Imaging & Sensing (A),FA15,42,13,84.6 %,84.6 %,5.12,B+ (3.42),B (3.30)
"Esmaili, Gholamreza",ECE 188 - Topics in ECE with Lab (A),FA15,93,33,90.0 %,93.3 %,10.02,B (3.11),B- (2.88)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),FA15,33,5,75.0 %,100.0 %,9,A- (3.75),B+ (3.32)
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),FA15,33,5,75.0 %,75.0 %,9,A- (3.75),B+ (3.32)
"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),S215,77,12,90.9 %,100.0 %,9.23,A- (3.70),C+ (2.67)
"Shevchenko, Valentin I",ECE 107 - Electromagnetism (A),S215,52,8,62.5 %,37.5 %,12.5,C+ (2.63),B- (2.79)
"Alcantara, Eldridge Escubido",ECE 101 - Linear Systems Fundamentals (A),S115,77,75,97.3 %,96.0 %,11.17,B+ (3.44),B (3.19)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),S115,43,9,77.8 %,66.7 %,9,B (3.22),B (3.19)
"Fullerton, Eric E",ECE 107 - Electromagnetism (A),SP15,183,48,88.4 %,83.7 %,9.62,B (3.03),C+ (2.41)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP15,106,36,86.1 %,83.3 %,6.63,B- (2.80),C+ (2.39)
"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (B),SP15,212,57,75.0 %,80.8 %,6.66,B (3.19),C+ (2.59)
"Coles, William A.",ECE 123 - Antenna Systems Engineering (A),SP15,15,3,100.0 %,66.7 %,13.17,B+ (3.33),N/A
"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP15,38,13,100.0 %,100.0 %,9.95,B+ (3.50),B- (3.00)
"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),SP15,27,10,100.0 %,100.0 %,13.1,B+ (3.44),B (3.18)
"Hildebrand, John A",ECE 145CL - Acoustics Laboratory (C),SP15,26,7,100.0 %,100.0 %,5.64,A- (3.86),B+ (3.56)
"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),SP15,54,22,75.0 %,70.0 %,9.55,B (3.20),C+ (2.66)
"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP15,16,4,100.0 %,100.0 %,9.5,A (4.00),N/A
"Vasconcelos, Nuno",ECE 161C - Apps of Digital Signal Process (A),SP15,58,54,90.6 %,88.7 %,6.88,B (3.27),B- (2.82)
"Song, Bang Sup",ECE 163 - Electronic Circuits & Systems (A),SP15,88,37,75.0 %,37.5 %,9.88,B+ (3.31),B- (2.90)
"Mercier, Patrick Philip",ECE 165 - Digtl Integrated Circuit Desgn (A),SP15,82,32,100.0 %,100.0 %,11.81,B+ (3.38),B (3.09)
"Sworder, David D.",ECE 171A - Linear Control System Theory (A),SP15,167,46,83.7 %,51.2 %,6.26,B+ (3.36),B+ (3.36)
"Kreutz-Delgado, Kenneth",ECE 175B - Prob Reasoning & Graphical Mod (A),SP15,28,6,83.3 %,83.3 %,9.5,B+ (3.33),B (3.19)
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP15,20,7,100.0 %,100.0 %,7.36,B+ (3.57),B+ (3.35)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),SP15,46,10,100.0 %,100.0 %,12.75,A- (3.71),B+ (3.49)
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),SP15,46,10,100.0 %,88.9 %,12.28,A- (3.75),B+ (3.49)
"Kante, Boubacar",ECE 100 - Linear Electronic Systems (A),WI15,101,75,90.5 %,89.2 %,9.05,B (3.20),C+ (2.65)
"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),WI15,138,53,84.6 %,82.7 %,8.54,B- (2.92),B- (2.71)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),WI15,150,65,93.5 %,96.8 %,11.29,B (3.17),C+ (2.58)
"Dayeh, Shadi Ahmad",ECE 103 - Fundamntls/Devices & Materials (A),WI15,85,39,91.9 %,100.0 %,10.33,B (3.05),B (3.27)
"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),WI15,109,41,83.8 %,67.6 %,8.56,B (3.05),C+ (2.52)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI15,129,44,88.1 %,81.0 %,6.5,B- (2.79),C+ (2.53)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),WI15,71,19,100.0 %,93.8 %,9.03,B+ (3.64),B+ (3.35)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI15,74,17,87.5 %,93.8 %,9.38,B+ (3.50),B+ (3.35)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (C),WI15,19,10,85.7 %,85.7 %,15.07,A- (3.71),B+ (3.35)
"Esmaili, Gholamreza",ECE 125A - Intro to Power Electronics I (A),WI15,59,17,100.0 %,100.0 %,9.97,B- (2.71),B- (2.97)
"Tu, Charles",ECE 135A - Semiconductor Physics (A),WI15,31,9,100.0 %,100.0 %,7.61,B (3.22),C+ (2.66)
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),WI15,22,7,71.4 %,85.7 %,16.21,B (3.00),B (3.09)
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),WI15,22,7,71.4 %,85.7 %,16.21,B (3.00),B (3.09)
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI15,10,3,100.0 %,100.0 %,7.83,A (4.00),N/A
"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI15,135,51,68.8 %,81.3 %,9.85,B- (2.84),C+ (2.56)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI15,19,7,85.7 %,85.7 %,8.5,B+ (3.57),N/A
"Song, Hee Chun",ECE 161B - Digital Signal Processing I (B),WI15,68,20,89.5 %,89.5 %,6.94,B+ (3.32),B+ (3.44)
"Trivedi, Mohan M.",ECE 172A - Introductn/Intelligent Systems (A),WI15,112,44,85.4 %,70.7 %,9.35,B (3.15),B (3.30)
"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI15,58,54,81.5 %,68.5 %,9.97,B (3.00),C+ (2.57)
"Fainman, Yeshaiahu",ECE 184 - Optical Info Proces&Holography (A),WI15,7,4,100.0 %,75.0 %,5,B+ (3.50),N/A
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),WI15,62,16,100.0 %,93.8 %,10.63,A- (3.88),B+ (3.63)
"Tu, Charles",ECE 191 - Engineering Group Design Proj (A),WI15,62,16,100.0 %,93.8 %,10.63,A- (3.88),B+ (3.63)
"Sievenpiper, Daniel F.",ECE 100 - Linear Electronic Systems (A),FA14,227,61,100.0 %,78.2 %,9.34,B (3.09),C+ (2.43)
"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA14,207,76,91.5 %,97.2 %,7.88,B (3.13),C+ (2.63)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),FA14,66,33,93.8 %,96.9 %,9.98,B+ (3.33),C+ (2.56)
"Tu, Charles",ECE 103 - Fundamntls/Devices & Materials (A),FA14,194,60,88.2 %,66.7 %,8.14,B (3.24),C+ (2.53)
"Hildebrand, John A",ECE 145AL - Acoustics Laboratory (A),FA14,14,3,100.0 %,100.0 %,8.5,B+ (3.67),N/A
"Gilja, Vikash",ECE 15 - Engineering Computation (A),FA14,188,81,71.8 %,91.5 %,10.84,B- (2.97),C+ (2.51)
"Vardy, Alexander",ECE 15 - Engineering Computation (B),FA14,172,112,75.9 %,75.9 %,10.5,B- (2.94),C+ (2.56)
"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (B),FA14,101,35,96.9 %,93.8 %,8.11,B (3.25),B (3.07)
"Minero, Paolo",ECE 158A - Data Networks I (B),FA14,35,17,100.0 %,100.0 %,6.68,B+ (3.45),B (3.11)
"Rao, Bhaskar D.",ECE 161A - Intr/Digital Signal Processing (A),FA14,111,29,92.6 %,92.6 %,7.78,B- (2.80),B- (2.87)
"Buckwalter, James",ECE 164 - Analog Integrtd Circuit Design (A),FA14,65,21,77.8 %,88.9 %,8.06,B+ (3.44),B (3.24)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA14,63,21,84.2 %,84.2 %,9.24,A- (3.71),B (3.02)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA14,40,12,100.0 %,87.5 %,7,B+ (3.38),B+ (3.34)
"Kreutz-Delgado, Kenneth",ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA14,86,56,81.1 %,81.1 %,9.12,B (3.04),C+ (2.70)
